Modelo,Accuracy,F1-Score,ROC-AUC,Tiempo_Entrenamiento_(s)
Logistic Regression,0.8389722203538037,0.6852484880357612,0.8674879089720586,403.9948511123657
Random Forest,0.999495527006121,0.9989775748074432,1.0,1426.1633460521698
